2.f) Rang lista nekretnina izgradenih 2020. godine koje se prodaju:
+----------------+------------+-------------------------------+-------------+--------------------+------------------+--------------------+------------------+------------------+-------------+----------------------------+-----------+---------------+---------+------+--------+--------+-------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+
| Tip nekretnine | Tip ponude |            Lokacija           | Kvadaratura | Stanje nekretnine  | Godina izgradnje | Površina zemljišta |      Sprat       | Ukupna spratnost | Uknjiženost |        Tip grejanja        | Broj soba | Broj kupatila | Parking | Lift | Terasa | Balkon | Lodja |                                                                                 url                                                                                 |      Cena     |
|      Stan      |  Prodaja   |  Beograd, Dedinje (Beli dvor) |    107 m²   |    Novogradnja     |       2020       |                    |        1         |        2         |      Da     |       Klima, Etažno        |     4     |       1       |    Da   |  Da  |   Da   |   Ne   |   Ne  |                       https://www.nekretnine.rs/stambeni-objekti/stanovi/dedinje-useljiv-stan-vrhunski-kvalitet-pdv-u-ceni-id1436/NkVoRhGV_UT/                      |  300 000 EUR  |
|      Stan      |  Prodaja   |      Beograd, Autokomanda     |    124 m²   |    Novogradnja     |       2020       |                    |        3         |        3         |      Da     |           Etažno           |     5     |       1       |    Da   |  Da  |   Da   |   Ne   |   Ne  |                          https://www.nekretnine.rs/stambeni-objekti/stanovi/nov-luksuzan-petosoban-stan-na-autokomandi-id7058/NkscdLx5GoQ/                          |  280 000 EUR  |
|      Stan      |  Prodaja   |            Kopaonik           |    36 m²    |    Novogradnja     |       2020       |                    |        1         |        4         |      Ne     |           Ostalo           |     1     |               |    Da   |  Ne  |   Da   |   Ne   |   Ne  |                                    https://www.nekretnine.rs/stambeni-objekti/stanovi/kopaonik-36m215m-garazno-mesto/NkxOTVsrEae/                                   |  262 000 EUR  |
|      Stan      |  Prodaja   |            Beograd            |    93 m²    |    Novogradnja     |       2020       |                    |        1         |        4         |      Ne     |         Centralno          |     4     |       2       |    Ne   |  Da  |   Da   |   Ne   |   Ne  |                                 https://www.nekretnine.rs/stambeni-objekti/stanovi/cetvorosoban-vracar-vracar-lokacija/NkZE83Jq9iV/                                 |  255 750 EUR  |
|      Stan      |  Prodaja   |       Beograd, Zvezdara       |    230 m²   |    Novogradnja     |       2020       |                    |        6         |        6         |      Da     |           Etažno           |     6     |       2       |    Da   |  Da  |   Da   |   Ne   |   Ne  |                                  https://www.nekretnine.rs/stambeni-objekti/stanovi/ceo-sprat-jedan-stan-lux-penthaus/NkrA1P1YFJ3/                                  |  252 000 EUR  |
|      Kuca      |  Prodaja   |        Zlatibor, Vodice       |    342 m²   |    U izgradnji     |       2020       |        6 ar        |                  |                  |      Ne     |             -              |     9     |       4       |    Ne   |  Ne  |   Ne   |   Ne   |   Ne  |                                     https://www.nekretnine.rs/stambeni-objekti/kuce/kuca-na-zlatiboru-borova-glava/Nk_Aj6w6a2r/                                     |  250 000 EUR  |
|      Stan      |  Prodaja   |      Beograd, Crveni krst     |   95.5 m²   | Standardna gradnja |       2020       |                    |        4         |        5         |      Ne     |           Etažno           |     4     |       1       |    Da   |  Ne  |   Da   |   Ne   |   Ne  |                                      https://www.nekretnine.rs/stambeni-objekti/stanovi/vracar-derdapska-547-id547/Nk-_4TxVT2u/                                     |  239 000 EUR  |
|      Stan      |  Prodaja   |     Beograd, Savski venac     |    64 m²    | Završena izgradnja |       2020       |                    |        2         |        5         |      Da     |         Centralno          |     2     |       1       |    Da   |  Da  |   Ne   |   Da   |   Ne  |                                 https://www.nekretnine.rs/stambeni-objekti/stanovi/kneza-milosa-residence-dvosoban-stan/NkIjJQnOC0r/                                |  235 650 EUR  |
|      Stan      |  Prodaja   |      Beograd, Banovo brdo     |    103 m²   |    Novogradnja     |       2020       |                    |        2         |        4         |      Da     |           Etažno           |     4     |       2       |    Ne   |  Da  |   Da   |   Ne   |   Ne  |                                 https://www.nekretnine.rs/stambeni-objekti/stanovi/banovo-brdo-103m2-ii-gas-uk-id72732/NkppJywRLOm/                                 |  235 000 EUR  |
|      Stan      |  Prodaja   |      Beograd, Banovo brdo     |    102 m²   |    Novogradnja     |       2020       |                    |        2         |        4         |      Da     |           Klima            |     4     |               |    Da   |  Da  |   Da   |   Ne   |   Ne  |                       https://www.nekretnine.rs/stambeni-objekti/stanovi/cukarica-banovo-brdo-rajka-od-rasine-40-102m2-235000eur/NkNQUQJet-1/                       |  235 000 EUR  |
