2.g) Top 30 nekretnina koje imaju najveci broj soba unutar nekretnine:
+----------------+------------+------------------------------+-------------+--------------------+------------------+--------------------+-------+------------------+-------------+-------------------+-----------+---------------+---------+------+--------+--------+-------+------------------------------------------------------------------------------------------------------------------------+---------------+
| Tip nekretnine | Tip ponude |           Lokacija           | Kvadaratura | Stanje nekretnine  | Godina izgradnje | Površina zemljišta | Sprat | Ukupna spratnost | Uknjiženost |    Tip grejanja   | Broj soba | Broj kupatila | Parking | Lift | Terasa | Balkon | Lodja |                                                          url                                                           |      Cena     |
|      Kuca      |  Prodaja   |        Beograd, Cerak        |    200 m²   | Standardna gradnja |                  |         -          |       |                  |      Da     |       Etažno      |     9     |       1       |    Da   |  Ne  |   Da   |   Ne   |   Ne  |           https://www.nekretnine.rs/stambeni-objekti/kuce/ace-joksimovica-cerak-cukarica-id1607/NkMtW7NB-xu/           |  299 000 EUR  |
|      Kuca      |  Prodaja   |      Beograd, Dušanovac      |    250 m²   | Standardna gradnja |                  |         -          |       |                  |      Ne     |       TA pec      |     9     |       1       |    Da   |  Ne  |   Ne   |   Ne   |   Ne  |             https://www.nekretnine.rs/stambeni-objekti/kuce/kuca-na-dobroj-lokaciji-id112107/Nk7tJRQ9zC4/              |  260 000 EUR  |
|      Kuca      |  Prodaja   |       Beograd, Senjak        |    129 m²   |                    |                  |        9 ar        |       |                  |      Da     |         -         |     9     |       4       |    Da   |  Ne  |   Da   |   Ne   |   Ne  |          https://www.nekretnine.rs/stambeni-objekti/kuce/senjak-odlicna-zasebna-kuca-plac-9-ari/NkuhvoV9Cmm/           | 1 333 000 EUR |
|      Kuca      |  Prodaja   |   Beograd, Vracar (Centar)   |    430 m²   |    Novogradnja     |       2005       |         -          |       |                  |      Da     |   Klima, Etažno   |     9     |               |    Da   |  Ne  |   Da   |   Da   |   Ne  |    https://www.nekretnine.rs/stambeni-objekti/kuce/vracar-kalenic-pijaca-danicareva-90-430m2-769000eur/NkKN-Z_cnUy/    |  769 000 EUR  |
+----------------+------------+------------------------------+-------------+--------------------+------------------+--------------------+-------+------------------+-------------+-------------------+-----------+---------------+---------+------+--------+--------+-------+------------------------------------------------------------------------------------------------------------------------+---------------+


Top 30 stanova sa najvecom kvadraturom:
+----------------+------------+---------------------------------------+-------------+--------------------+------------------+--------------------+-----------+------------------+-------------+-----------------------+-----------+---------------+---------+------+--------+--------+-------+----------------------------------------------------------------------------------------------------------------------------------------------------+---------------+
| Tip nekretnine | Tip ponude |                Lokacija               | Kvadaratura | Stanje nekretnine  | Godina izgradnje | Površina zemljišta |   Sprat   | Ukupna spratnost | Uknjiženost |      Tip grejanja     | Broj soba | Broj kupatila | Parking | Lift | Terasa | Balkon | Lodja |                                                                        url                                                                         |      Cena     |
+----------------+------------+---------------------------------------+-------------+--------------------+------------------+--------------------+-----------+------------------+-------------+-----------------------+-----------+---------------+---------+------+--------+--------+-------+----------------------------------------------------------------------------------------------------------------------------------------------------+---------------+
|      Stan      |  Prodaja   |           Novi Sad, Salajka           |  180000 m²  |                    |                  |                    |     -     |        -         |      Da     |           -           |     -     |               |    Ne   |  Ne  |   Ne   |   Ne   |   Ne  |                               https://www.nekretnine.rs/stambeni-objekti/stanovi/stan-ivona-0654019279/Nkp81U018ZJ/                                |     89 EUR    |
|      Stan      |  Prodaja   |         Novi Sad, Novo Naselje        |  139050 m²  |   Izvorno stanje   |                  |                    |     3     |        4         |      Da     |       Centralno       |     -     |       1       |    Ne   |  Ne  |   Da   |   Ne   |   Ne  |                         https://www.nekretnine.rs/stambeni-objekti/stanovi/odlican-trosoban-stan-bez-ulaganja/NkeegBf8huv/                         |      ---      |
|      Stan      |  Prodaja   |         Novi Sad, Novo Naselje        |  115600 m²  |                    |                  |                    |     -     |        -         |      Ne     |           -           |     -     |               |    Ne   |  Ne  |   Ne   |   Ne   |   Ne  |                        https://www.nekretnine.rs/stambeni-objekti/stanovi/trosoban-stan-novi-sad-novo-naselje/Nk4_5rXARrL/                         |      ---      |
|      Stan      |  Prodaja   |          Novi Sad, Detelinara         |   81890 m²  |                    |                  |                    |     11    |        12        |      Da     |       Centralno       |     -     |               |    Ne   |  Da  |   Da   |   Ne   |   Ne  |                   https://www.nekretnine.rs/stambeni-objekti/stanovi/odlican-komforan-dvosoban-na-staroj-detelinari/NkykEuHWSNz/                   |     53 EUR    |
|      Stan      |  Prodaja   |       Novi Sad, Detelinara nova       |   76350 m²  | Standardna gradnja |                  |                    |     4     |        6         |      Da     |       Centralno       |     -     |               |    Ne   |  Da  |   Da   |   Ne   |   Ne  |                         https://www.nekretnine.rs/stambeni-objekti/stanovi/dvosoban-stan-na-novoj-detelinari/Nk-bJc3hXPD/                          |   76 350 EUR  |
|      Stan      |  Prodaja   |         Novi Sad, Petrovaradin        |   71470 m²  | Standardna gradnja |                  |                    |     3     |        3         |      Da     |       Centralno       |     2     |       1       |    Ne   |  Da  |   Da   |   Ne   |   Ne  |                       https://www.nekretnine.rs/stambeni-objekti/stanovi/odlican-dvosoban-stan-na-petrovaradinu/NkrWuosrHtn/                       |     46 EUR    |
|      Stan      |  Prodaja   |         Novi Sad, Novo Naselje        |   56650 m²  |                    |                  |                    |     -     |        -         |      Ne     |           -           |     -     |               |    Ne   |  Ne  |   Ne   |   Ne   |   Ne  |                              https://www.nekretnine.rs/stambeni-objekti/stanovi/top-stan-na-novom-naelju/NkHAtJLiJWQ/                              |     28 EUR    |
|      Stan      | Izdavanje  |                  Niš                  |   2000 m²   | Standardna gradnja |                  |                    | Prizemlje |        -         |             |           -           |     -     |               |    Ne   |  Ne  |   Ne   |   Ne   |   Ne  |                              https://www.nekretnine.rs/stambeni-objekti/stanovi/hale-kod-kp-doma-id1520/Nkdhrana2JQ/                               |   4 000 EUR   |
|      Stan      |  Prodaja   |           Beograd, Voždovac           |   1200 m²   | Standardna gradnja |       1997       |                    |     -     |        2         |      Ne     |         Etažno        |     20    |               |    Da   |  Ne  |   Ne   |   Ne   |   Ne  |                https://www.nekretnine.rs/stambeni-objekti/stanovi/vozdovac-medakovic-mokroluska-200-1200m2-1000000eur/NkIJIeuptMA/                 | 1 000 000 EUR |
|      Stan      |  Prodaja   |           Beograd, Voždovac           |   1200 m²   | Standardna gradnja |       1997       |                    |     -     |        2         |      Ne     |         Etažno        |     20    |               |    Da   |  Ne  |   Ne   |   Ne   |   Ne  |                https://www.nekretnine.rs/stambeni-objekti/stanovi/vozdovac-medakovic-mokroluska-200-1200m2-1000000eur/NkQy698fx5Y/                 | 1 000 000 EUR |
|      Stan      |  Prodaja   |           Novi Sad, Podbara           |   1065 m²   |    Novogradnja     |                  |                    |     1     |        6         |      Da     |       Centralno       |     4     |               |    Da   |  Da  |   Da   |   Ne   |   Ne  |               https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-sad-podbara-filipa-visnjica-40-1065m2-204480eur/NkYNavuBErkf/                |  204 480 EUR  |
|      Stan      | Izdavanje  |                  Niš                  |    800 m²   | Standardna gradnja |                  |                    | Prizemlje |        -         |             |         TA pec        |     -     |               |    Ne   |  Ne  |   Ne   |   Ne   |   Ne  |                               https://www.nekretnine.rs/stambeni-objekti/stanovi/hala-u-mramoru-id1278/NkVETgKu-fq/                                |   2 000 EUR   |
|      Stan      |  Prodaja   |           Beograd, Voždovac           |    640 m²   |    Novogradnja     |       2014       |                    |     8     |        9         |      Da     |         Etažno        |     5     |       1       |    Ne   |  Da  |   Da   |   Ne   |   Ne  |  https://www.nekretnine.rs/stambeni-objekti/stanovi/6-0-vozdovac-vojvode-stepe-ultra-luksuzan-penthouse-viiiix-terasa-320m2-id1611/Nknidoj9nuX5/   | 1 000 000 EUR |
|      Stan      | Izdavanje  |           Beograd, Košutnjak          |    600 m²   | Standardna gradnja |                  |                    |     1     |        3         |             |     Klima, Etažno     |     7     |       1       |    Da   |  Ne  |   Da   |   Ne   |   Ne  |                            https://www.nekretnine.rs/stambeni-objekti/stanovi/siri-centar-cukarica-id45483/NkmDuzeXhS8/                            |   5 000 EUR   |
|      Stan      | Izdavanje  |           Beograd, Galenika           |    470 m²   |    Novogradnja     |       2010       |                    | Prizemlje |        1         |             |     Klima, Ostalo     |     6     |       2       |    Da   |  Ne  |   Da   |   Ne   |   Ne  |                         https://www.nekretnine.rs/stambeni-objekti/stanovi/galenika-autoput-470m2-hala-i-kanc/NkdJ5lm_6SQ/                         |   2 500 EUR   |
|      Stan      | Izdavanje  |             Niš, Palilula             |    450 m²   | Standardna gradnja |                  |                    | Prizemlje |        -         |             |         TA pec        |     -     |               |    Ne   |  Ne  |   Ne   |   Ne   |   Ne  |                             https://www.nekretnine.rs/stambeni-objekti/stanovi/hale-u-okolini-nisa-id269/NkXxnUYkOfY/                              |   1 125 EUR   |
|      Stan      |  Prodaja   |            Beograd, Senjak            |    425 m²   | Standardna gradnja |                  |                    |     2     |        -         |      Da     |           -           |     7     |       1       |    Da   |  Da  |   Da   |   Ne   |   Ne  |                     https://www.nekretnine.rs/stambeni-objekti/stanovi/savski-venac-senjak-retko-u-ponudi--id1602/NkMOF8AD_R-/                     | 1 150 000 EUR |
|      Stan      | Izdavanje  | Beograd, Novi Beograd Blok 25 (Arena) |    410 m²   | Standardna gradnja |                  |                    |     7     |        -         |             |     Klima, Ostalo     |     7     |       4       |    Da   |  Ne  |   Da   |   Ne   |   Ne  |                        https://www.nekretnine.rs/stambeni-objekti/stanovi/41148-izdavanje-stan-blok-11a-0-eur/Nk-wTtX5BMK/                         |  Po dogovoru  |
|      Stan      |  Prodaja   |         Beograd, Vracar (Hram)        |    405 m²   | Standardna gradnja |                  |                    |     4     |        5         |      Da     |         Etažno        |     4     |       4       |    Da   |  Da  |   Da   |   Ne   |   Ne  |                          https://www.nekretnine.rs/stambeni-objekti/stanovi/stan-od-kog-zastaje-dah-id105456/Nk3v6AOmPWd/                          | 1 550 000 EUR |
|      Stan      |  Prodaja   |         Beograd, Vracar (Hram)        |    405 m²   |    Novogradnja     |       2014       |                    |     4     |        5         |      Da     |         Ostalo        |     4     |               |    Da   |  Da  |   Da   |   Ne   |   Ne  |                                 https://www.nekretnine.rs/stambeni-objekti/stanovi/405m2-2t-hram-stan/NkC69xl-JsO/                                 | 1 550 000 EUR |
|      Stan      | Izdavanje  |           Beograd, Voždovac           |    400 m²   | Standardna gradnja |                  |                    |     0     |        -         |             |     Klima, Ostalo     |     7     |       5       |    Da   |  Ne  |   Da   |   Ne   |   Ne  |                       https://www.nekretnine.rs/stambeni-objekti/stanovi/40328-izdavanje-stan-vozdovac-4500-eur/NkbeW9EjJf/                        |   4 500 EUR   |
|      Stan      | Izdavanje  |         Beograd, Vracar (Hram)        |    400 m²   |    Novogradnja     |                  |                    | Prizemlje |        -         |             |       Centralno       |     5     |       5       |    Da   |  Da  |   Da   |   Ne   |   Ne  |                           https://www.nekretnine.rs/stambeni-objekti/stanovi/ekskluzivan-penthaus--50-hram/Nkt8gRYcleu/                            |  Po dogovoru  |
|      Stan      | Izdavanje  |         Beograd, Vracar (Hram)        |    400 m²   |    Novogradnja     |                  |                    |     6     |        -         |             |       Centralno       |     5     |       5       |    Da   |  Da  |   Da   |   Ne   |   Ne  |                          https://www.nekretnine.rs/stambeni-objekti/stanovi/vrhunski-penthaus-retko-u-ponudi/NkqCFYVmfUr/                          |   7 400 EUR   |
|      Stan      | Izdavanje  |            Beograd, Senjak            |    400 m²   | Standardna gradnja |                  |                    |     -     |        -         |             |       Centralno       |     7     |       1       |    Da   |  Ne  |   Da   |   Ne   |   Ne  |                                      https://www.nekretnine.rs/stambeni-objekti/stanovi/senjak-id995/1961200/                                      |   5 000 EUR   |
|      Stan      | Izdavanje  |           Novi Sad, Bulevar           |    397 m²   |    Novogradnja     |                  |                    |     10    |        -         |             |    Klima, Centralno   |     6     |       3       |    Da   |  Da  |   Da   |   Ne   |   Ne  | https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-sad-bulevar-oslobodenja-luksuzan-sestosoban-stan-sa-garaznim-mestom-id9140926/NkOyufeAas6/ |   4 000 EUR   |
|      Stan      | Izdavanje  |           Novi Sad, Bulevar           |    397 m²   |    Novogradnja     |                  |                    |     10    |        10        |             |    Klima, Centralno   |     6     |       3       |    Da   |  Da  |   Da   |   Ne   |   Ne  |      https://www.nekretnine.rs/stambeni-objekti/stanovi/novi-sad-bulevar-oslobodenja-luksuzan-kompletno-namesten-stan-id9101543/Nk-htVLEFS8/       |   4 000 EUR   |
|      Stan      | Izdavanje  |           Beograd, Voždovac           |    380 m²   |    Novogradnja     |       2005       |                    |     3     |        3         |             |         Podno         |     -     |               |    Da   |  Da  |   Da   |   Ne   |   Ne  |                https://www.nekretnine.rs/stambeni-objekti/stanovi/izuzetan-penthouse-sa-bazenom-u-bulevaru-oslobodenja/NklR_srbwX6/                | 1 000 000 EUR |
|      Stan      | Izdavanje  |           Beograd, Voždovac           |    380 m²   |    Novogradnja     |                  |                    |     7     |        -         |             |       Centralno       |     5     |       3       |    Da   |  Da  |   Da   |   Ne   |   Ne  |                          https://www.nekretnine.rs/stambeni-objekti/stanovi/impressive-penthaus-in-vozdovac-/NkJVQC3nP8-/                          |   2 700 EUR   |
|      Stan      |  Prodaja   |          Beograd, Autokomanda         |    376 m²   |    Novogradnja     |       2017       |                    |     3     |        4         |      Da     |     Klima, Etažno     |     5     |       4       |    Da   |  Da  |   Da   |   Ne   |   Ne  |                              https://www.nekretnine.rs/stambeni-objekti/stanovi/penthaus-iz-snova-id1345/NkjfspAZ71X/                              |  850 000 EUR  |
|      Stan      | Izdavanje  |        Beograd, Kalenic pijaca        |    370 m²   |    Novogradnja     |                  |                    |     6     |        6         |             | TA pec, Ostalo, Klima |     5     |       4       |    Da   |  Da  |   Da   |   Ne   |   Ne  |          https://www.nekretnine.rs/stambeni-objekti/stanovi/u-srcu-vracara-na-cuburi-luksuzna-potpuno-opremljena-novogradnja/Nk2PAGzyimQ/          |   7 400 EUR   |
+----------------+------------+---------------------------------------+-------------+--------------------+------------------+--------------------+-----------+------------------+-------------+-----------------------+-----------+---------------+---------+------+--------+--------+-------+----------------------------------------------------------------------------------------------------------------------------------------------------+---------------+


Top 30 kuca sa najvecom zemljištem:
+----------------+------------+----------------------------+-------------+--------------------+------------------+--------------------+-------+------------------+-------------+-------------------+-----------+---------------+---------+------+--------+--------+-------+----------------------------------------------------------------------------------------------------------------------------------------------------+---------------+
| Tip nekretnine | Tip ponude |          Lokacija          | Kvadaratura | Stanje nekretnine  | Godina izgradnje | Površina zemljišta | Sprat | Ukupna spratnost | Uknjiženost |    Tip grejanja   | Broj soba | Broj kupatila | Parking | Lift | Terasa | Balkon | Lodja |                                                                        url                                                                         |      Cena     |
+----------------+------------+----------------------------+-------------+--------------------+------------------+--------------------+-------+------------------+-------------+-------------------+-----------+---------------+---------+------+--------+--------+-------+----------------------------------------------------------------------------------------------------------------------------------------------------+---------------+
|      Kuca      |  Prodaja   |           Cenej            |    111 m²   |                    |                  |      45000 ar      |       |                  |      Ne     |         -         |     -     |               |    Ne   |  Ne  |   Ne   |   Ne   |   Ne  |                                    https://www.nekretnine.rs/stambeni-objekti/kuce/kvalitetna-kuca/Nk7Fgtbstv3/                                    |  133 900 EUR  |
|      Kuca      |  Prodaja   |      Novi Sad, Šangaj      |    101 m²   |                    |                  |      22602 ar      |       |                  |      Da     |         -         |     -     |               |    Ne   |  Ne  |   Ne   |   Ne   |   Ne  |                           https://www.nekretnine.rs/stambeni-objekti/kuce/porodicna-kuca-sa-ogromnim-placom/Nk48mxqX5sx/                           |  360 500 EUR  |
|      Kuca      |  Prodaja   |           Cenej            |    86 m²    |                    |                  |      11051 ar      |       |                  |      Ne     |         -         |     1     |       1       |    Ne   |  Ne  |   Ne   |   Ne   |   Ne  |                      https://www.nekretnine.rs/stambeni-objekti/kuce/odlicna-gradnja-cenej-0212215500-0648033314/NknobKag3KX/                      |  128 750 EUR  |
|      Kuca      |  Prodaja   |    Prijepolje, Šarampov    |    110 m²   |   Izvorno stanje   |                  |      9658 ar       |       |                  |      Da     |     Centralno     |     3     |       1       |    Ne   |  Ne  |   Da   |   Ne   |   Ne  |                       https://www.nekretnine.rs/stambeni-objekti/kuce/prodaje-se-kuca-110-m2-paraci-prijepolje/NklWOyxTHHw/                        |   68 000 EUR  |
|      Kuca      |  Prodaja   |           Cenej            |    160 m²   |                    |                  |      7499 ar       |       |                  |      Da     |         -         |     -     |               |    Ne   |  Ne  |   Ne   |   Ne   |   Ne  |                                      https://www.nekretnine.rs/stambeni-objekti/kuce/sjajna-kuca/NkOpbMxMUNV/                                      |  154 500 EUR  |
|      Kuca      |  Prodaja   |      Novi Sad, Klisa       |   1784 m²   | Standardna gradnja |                  |      7226 ar       |       |                  |      Da     |         -         |     5     |       1       |    Ne   |  Ne  |   Ne   |   Ne   |   Ne  |                         https://www.nekretnine.rs/stambeni-objekti/kuce/veliki-plac-sa-8-zgrada-samo-kod-nas/NkwHb-9uV9Q/                          | 1 648 000 EUR |
